Player,2K17,2K16,2K15,2K14
Ben Simmons,79,,,
Jonathon Simmons,70,69,,
Kyle Singler,71,71,74,62
Marcus Smart,76,74,76,
Ishmael Smith,75,70,68,71
Jason Smith,73,72,72,60
JR Smith,77,76,78,82
Tony Snell,72,72,72,62
Marreese Speights,75,76,72,69
Tiago Splitter,75,76,77,69
Nik Stauskas,69,69,74,
Diamond Stone,66,,,
Rodney Stuckey,74,76,75,78
Jared Sullinger,77,77,78,72
Walter Tavares,67,65,,
Jeff Teague,79,83,78,75
Mirza Teletovic,76,69,71,64
Garrett Temple,74,71,68,64
Jason Terry,71,71,74,77
Isaiah Thomas,85,81,80,75
Lance Thomas,72,70,66,64
Hollis Thompson,72,71,71,
Klay Thompson,90,87,82,75
Tristan Thompson,81,77,76,72
Marcus Thornton,73,72,76,75
Anthony Tolliver,70,70,73,60
Karl-Anthony Towns,88,78,,
PJ Tucker,75,75,76,65
Evan Turner,77,74,76,82
Myles Turner,78,73,,
Beno Udrih,72,75,74,68
Tyler Ullis,69,,,
Jonas Valanciunas,82,78,78,68
Denzel Valentine,72,,,
Anderson Varejao,73,76,75,76
Rashad Vaughn,69,69,,
Greivis Vasquez,71,73,76,73
Noah Vonleh,70,72,72,
Nikola Vucevic,80,83,80,73
Sasha Vujacic,69,69,,
Dwyane Wade,87,86,86,91
Dion Waiters,73,73,78,75
Kemba Walker,85,81,82,83
John Wall,88,87,86,85
TJ Warren,76,72,72,
CJ Watson,72,74,75,68
David West,75,77,80,81
Russell Westbrook,93,89,88,90
Hassan Whiteside,85,81,59,59
Isaiah Whitehead,68,,,
Andrew Wiggins,82,80,77,
CJ Wilcox,68,67,67,
Alan Williams,70,67,,
Deron Williams,76,78,84,88
Derrick Williams,73,72,71,69
Elliot Williams,66,66,70,66
Louis Williams,77,80,77,78
Marvin Williams,78,71,73,66
Mo Williams,73,76,76,78
Justise Winslow,77,74,,
Jeff Withey,74,70,69,60
Christian Wood,68,67,,
Brandan Wright,76,75,75,68
Delon Wright,69,70,,
Jianlian Yi,74,,,
James Young,67,68,68,
Joseph Young,71,68,,
Nick Young,70,73,78,71
Thaddeus Young,79,75,78,74
Cody Zeller,76,74,73,68
Tyler Zeller,74,76,70,65
Stephen Zimmerman,67,,,
Paul Zipser,68,,,
Ivica Zubac,67,,,
Share,,,,
,,,,
Create interactive charts and graphs like this one ,,,,
,,,,
